#Cloud,Name,Av,alpha,T_bol,L_bol,alphaPrime,TbolPrime,LbolPrime,likelyAGB,RA,DEC,Class
Ophiuchus,J162816.5-243657,6.3,-0.8,1200.0,0.14,-1.12,1600.0,0.25,N,247.06875,-24.615833333333335,II
Ophiuchus,J162816.7-240514,7.1,-1.3,1600.0,0.15,-1.6,1900.0,0.34,N,247.06958333333333,-24.08722222222222,II
Ophiuchus,J162817.7-241705,7.8,-1.2,1500.0,0.0066,-1.42,1800.0,0.016,N,247.07375,-24.284722222222225,II
Ophiuchus,J162821.5-242154,5.9,-2.3,1800.0,0.041,-2.36,2000.0,0.086,N,247.08958333333334,-24.365000000000002,III
Ophiuchus,J162821.6-243623,9.8,1.2,33.0,0.24,0.97,36.0,0.24,Y,247.09,-24.60638888888889,0+I
Ophiuchus,J162821.6-244247,19.0,-0.7,1000.0,0.0092,-1.2,1600.0,0.045,N,247.09,-24.713055555555556,II
Ophiuchus,J162823.3-242240,12.7,-1.2,1200.0,0.23,-1.49,1700.0,0.77,N,247.09708333333336,-24.37777777777778,II
Ophiuchus,J162832.6-242244,5.8,-1.7,1600.0,0.96,-1.84,1900.0,1.9,N,247.13583333333335,-24.378888888888888,III
Ophiuchus,J162845.2-242818,2.3,-0.8,1300.0,0.57,-0.83,1500.0,0.71,N,247.18833333333333,-24.471666666666664,II
Ophiuchus,J162848.7-242631,3.0,-1.5,1700.0,0.0032,-1.69,1900.0,0.0046,N,247.20291666666665,-24.441944444444445,III
Ophiuchus,J162854.0-244744,5.2,-0.9,1400.0,0.17,-1.1,1700.0,0.3,N,247.225,-24.795555555555556,II
Ophiuchus,J162856.0-233106,3.3,-1.2,1600.0,0.0096,-1.46,1800.0,0.014,N,247.23333333333335,-23.51833333333333,II
Ophiuchus,J162856.9-243109,2.9,-0.9,1600.0,0.027,-1.11,1700.0,0.038,N,247.23708333333335,-24.519166666666667,II
Ophiuchus,J162857.8-244054,9.8,0.7,320.0,0.027,0.57,430.0,0.037,Y,247.24083333333334,-24.68166666666667,0+I
Ophiuchus,J162903.2-242748,2.4,-1.3,1700.0,0.019,-1.41,1800.0,0.026,N,247.26333333333335,-24.46333333333333,II
Ophiuchus,J162908.2-241546,6.9,-1.1,1500.0,0.019,-1.26,1800.0,0.04,N,247.28416666666666,-24.262777777777778,II
Ophiuchus,J162923.3-241356,10.4,-1.8,1400.0,0.81,-1.99,1800.0,2.5,N,247.34708333333336,-24.23222222222222,III
Ophiuchus,J162935.0-243610,4.2,-2.1,1800.0,0.067,-2.23,2000.0,0.12,N,247.39583333333334,-24.602777777777778,III
Ophiuchus,J162944.2-244121,0.8,-1.7,1900.0,0.13,-1.67,1900.0,0.14,N,247.43416666666667,-24.689166666666665,III
